,gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
32,Female,31,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15,15,Both/Mainly Packets
33,Male,26,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,NA,NA,
34,Female,27,Separated,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
35,Female,57,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
36,Female,30,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,No,NA,NA,
37,Female,22,Single,A Levels,English,White,"5,200 to 10,400",The North,No,NA,NA,
38,Female,78,Widowed,No Qualification,English,White,"Under 2,600",The North,Yes,20,20,Packets
39,Female,49,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,No,NA,NA,
40,Male,74,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
41,Male,85,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,No,NA,NA,
42,Male,75,Married,Other/Sub Degree,English,White,Refused,The North,No,NA,NA,
43,Female,80,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
44,Female,37,Married,Degree,British,White,"Under 2,600",The North,No,NA,NA,
45,Female,33,Single,Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
46,Male,41,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,NA,NA,
47,Female,81,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
48,Female,76,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,Yes,6,6,Packets
49,Female,58,Married,A Levels,British,White,"10,400 to 15,600",The North,No,NA,NA,
50,Male,59,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25,25,Packets
51,Female,40,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,4,4,Packets
52,Female,54,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
53,Male,49,Married,Degree,Scottish,White,"Above 36,400",The North,No,NA,NA,
54,Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
55,Male,28,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,Yes,20,20,Packets
56,Male,44,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
57,Female,42,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,No,NA,NA,
58,Female,36,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,NA,NA,
59,Male,89,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
60,Female,64,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
61,Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
62,Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
63,Female,61,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
64,Female,81,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
65,Female,20,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,10,Packets
66,Female,82,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
67,Female,23,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,20,10,Packets
68,Male,41,Married,GCSE/O Level,English,White,"Above 36,400",The North,No,NA,NA,
69,Female,31,Single,A Levels,British,White,"15,600 to 20,800",The North,No,NA,NA,
70,Female,44,Married,A Levels,English,White,"20,800 to 28,600",The North,Yes,5,0,Packets
71,Female,42,Married,Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
72,Male,67,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20,20,Packets
73,Male,53,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
74,Male,76,Married,No Qualification,English,Black,"10,400 to 15,600",The North,No,NA,NA,
75,Male,40,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,30,30,Hand-Rolled
76,Male,44,Married,A Levels,British,White,"15,600 to 20,800",The North,No,NA,NA,
77,Female,31,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,Yes,20,20,Packets
78,Male,43,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,20,20,Hand-Rolled
79,Female,36,Separated,A Levels,British,White,"10,400 to 15,600",The North,No,NA,NA,
80,Female,34,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
81,Female,18,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,10,3,Packets
82,Male,56,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
83,Female,73,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
84,Female,22,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,20,20,Packets
85,Female,33,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,NA,NA,
86,Male,27,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,Yes,10,0,Packets
87,Female,33,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
88,Female,63,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
89,Female,64,Married,A Levels,British,White,"2,600 to 5,200",The North,No,NA,NA,
90,Male,54,Married,Degree,British,White,"Above 36,400",The North,No,NA,NA,
91,Female,34,Married,Degree,English,White,"Under 2,600",The North,No,NA,NA,
92,Male,78,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
93,Female,54,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
94,Male,56,Separated,GCSE/CSE,English,White,"28,600 to 36,400",The North,No,NA,NA,
95,Male,78,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
96,Female,37,Married,A Levels,British,White,"5,200 to 10,400",The North,No,NA,NA,
97,Male,54,Married,Degree,British,White,"28,600 to 36,400",The North,No,NA,NA,
98,Female,40,Married,GCSE/O Level,British,White,"20,800 to 28,600",The North,Yes,15,15,Hand-Rolled
99,Female,64,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
100,Female,42,Married,GCSE/O Level,Other,White,"5,200 to 10,400",The North,No,NA,NA,
101,Female,34,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",The North,No,NA,NA,
102,Female,64,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
103,Female,50,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
104,Female,31,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
105,Female,37,Married,Degree,English,White,"Above 36,400",The North,No,NA,NA,
106,Male,81,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
107,Male,57,Separated,No Qualification,Welsh,White,"5,200 to 10,400",The North,Yes,10,10,Hand-Rolled
108,Female,59,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
109,Male,66,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
110,Male,57,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,NA,NA,
111,Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
112,Male,49,Married,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
113,Female,62,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
114,Female,17,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,NA,NA,
115,Female,36,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
116,Female,31,Single,No Qualification,English,White,Refused,The North,Yes,7,7,Packets
117,Female,61,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25,25,Packets
118,Male,71,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,Yes,40,40,Packets
119,Female,75,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,12,12,Packets
120,Female,43,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,No,NA,NA,
121,Female,68,Widowed,No Qualification,English,White,Refused,The North,No,NA,NA,
122,Female,65,Widowed,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
123,Female,85,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
124,Female,35,Separated,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,20,20,Both/Mainly Hand-Rolled
125,Female,52,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
126,Female,28,Single,ONC/BTEC,English,White,"5,200 to 10,400",The North,Yes,15,15,Packets
127,Male,52,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,NA,NA,
128,Male,67,Widowed,No Qualification,Irish,White,"5,200 to 10,400",The North,Yes,25,25,Hand-Rolled
129,Female,35,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,30,30,Both/Mainly Hand-Rolled
130,Female,68,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
131,Female,34,Married,Higher/Sub Degree,Other,White,"10,400 to 15,600",The North,No,NA,NA,
132,Female,57,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,12,Hand-Rolled
133,Male,37,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,8,8,Hand-Rolled
134,Female,37,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15,15,Packets
135,Male,43,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15,15,Packets
136,Male,59,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
137,Female,28,Single,Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
138,Female,60,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
139,Male,16,Single,GCSE/O Level,British,White,"Under 2,600",The North,No,NA,NA,
140,Male,37,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,40,40,Hand-Rolled
141,Male,34,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,NA,NA,
142,Female,73,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
143,Male,24,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,NA,NA,
144,Female,36,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
145,Male,39,Separated,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,20,20,Both/Mainly Packets
146,Female,74,Married,No Qualification,English,White,Refused,The North,No,NA,NA,
147,Female,32,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15,15,Packets
148,Female,30,Married,Degree,Other,White,"15,600 to 20,800",The North,No,NA,NA,
149,Female,68,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
150,Female,49,Married,No Qualification,Refused,Refused,Refused,The North,No,NA,NA,
151,Female,47,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
152,Male,30,Single,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,Yes,30,30,Hand-Rolled
153,Male,60,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15,8,Hand-Rolled
154,Male,72,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
155,Male,73,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
156,Female,48,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,20,4,Packets
157,Male,53,Divorced,Degree,English,White,"Above 36,400",The North,No,NA,NA,
158,Male,17,Single,GCSE/O Level,English,White,Refused,The North,No,NA,NA,
159,Female,58,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
160,Female,34,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
161,Male,44,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
162,Male,23,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
163,Male,49,Married,Degree,British,White,"20,800 to 28,600",The North,No,NA,NA,
164,Male,30,Married,Degree,British,White,"15,600 to 20,800",The North,No,NA,NA,
165,Female,61,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
166,Male,38,Separated,A Levels,British,White,"10,400 to 15,600",The North,Yes,9,9,Hand-Rolled
167,Male,30,Single,Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
168,Female,44,Married,A Levels,English,White,"15,600 to 20,800",The North,No,NA,NA,
169,Male,91,Widowed,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
170,Male,40,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,No,NA,NA,
171,Female,63,Married,Degree,British,White,"2,600 to 5,200",The North,No,NA,NA,
172,Female,61,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,30,30,Packets
173,Female,40,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
174,Female,57,Married,No Qualification,British,White,"Under 2,600",The North,Yes,15,15,Both/Mainly Packets
175,Female,41,Married,Degree,British,White,"28,600 to 36,400",The North,No,NA,NA,
176,Female,32,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,7,5,Hand-Rolled
177,Male,76,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
178,Female,35,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,2,2,Packets
179,Male,70,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
180,Female,75,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
181,Female,74,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
182,Male,49,Married,Degree,British,White,"Above 36,400",The North,No,NA,NA,
183,Female,56,Married,GCSE/O Level,British,White,"Under 2,600",The North,No,NA,NA,
184,Male,60,Married,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
185,Female,72,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
186,Male,17,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
187,Female,23,Single,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
188,Male,79,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
189,Female,65,Separated,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
190,Female,57,Married,Degree,English,White,"5,200 to 10,400",The North,No,NA,NA,
191,Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
192,Male,79,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
193,Female,71,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
194,Female,87,Widowed,No Qualification,Refused,Refused,Unknown,The North,No,NA,NA,
195,Male,59,Married,Degree,English,White,"28,600 to 36,400",The North,Yes,40,40,Packets
196,Male,21,Single,ONC/BTEC,English,White,"10,400 to 15,600",The North,Yes,20,8,Packets
197,Female,66,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
198,Male,58,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,No,NA,NA,
199,Male,38,Married,GCSE/O Level,English,White,"Above 36,400",The North,Yes,30,15,Both/Mainly Packets
200,Male,61,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,No,NA,NA,
201,Male,37,Separated,Degree,English,White,"Above 36,400",The North,No,NA,NA,
202,Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
203,Male,34,Married,Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
204,Female,34,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,NA,NA,
205,Female,20,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,No,NA,NA,
206,Female,77,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,20,20,Packets
207,Female,31,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,20,15,Hand-Rolled
208,Male,28,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,2,2,Packets
209,Female,36,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,NA,NA,
210,Female,16,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,12,12,Packets
211,Male,42,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
212,Female,47,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,No,NA,NA,
213,Male,42,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,No,NA,NA,
214,Female,67,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
215,Female,72,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
216,Male,40,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,25,30,Packets
217,Female,34,Single,Degree,English,White,"Above 36,400",The North,No,NA,NA,
218,Male,75,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,NA,NA,
219,Female,35,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,NA,NA,
220,Female,40,Separated,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10,10,Packets
221,Female,46,Married,No Qualification,British,White,"15,600 to 20,800",The North,No,NA,NA,
222,Male,23,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
223,Male,42,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
224,Male,63,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
225,Female,33,Married,A Levels,British,White,"5,200 to 10,400",The North,No,NA,NA,
226,Female,31,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,NA,NA,
227,Male,54,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
228,Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,NA,NA,
229,Female,24,Single,Degree,English,White,"15,600 to 20,800",The North,Yes,12,8,Hand-Rolled
230,Female,80,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,NA,NA,
231,Female,77,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
232,Male,51,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
233,Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,NA,NA,
234,Male,27,Single,ONC/BTEC,English,White,Refused,The North,Yes,15,15,Packets
235,Female,75,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
236,Female,24,Single,Degree,Other,White,"5,200 to 10,400",The North,No,NA,NA,
237,Male,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,50,50,Both/Mainly Packets
238,Female,20,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,NA,NA,
239,Male,18,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,No,NA,NA,
240,Female,25,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,NA,NA,
241,Female,55,Separated,No Qualification,English,Mixed,"5,200 to 10,400",The North,Yes,10,7,Both/Mainly Hand-Rolled
242,Female,29,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,Yes,10,5,Packets
243,Female,67,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
244,Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
245,Male,44,Single,No Qualification,British,White,"20,800 to 28,600",The North,No,NA,NA,
246,Male,47,Married,Degree,British,White,"20,800 to 28,600",The North,No,NA,NA,
247,Female,41,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,NA,NA,
248,Female,31,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,5,0,Packets
249,Male,32,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,No,NA,NA,
250,Female,68,Widowed,No Qualification,English,White,Refused,The North,No,NA,NA,
